customer_id,call_duration,monthly_data_usage,contract_length,churn,call_total,call_avg,call_max
C00894,"[30, 41, 45, 37, 47, 7, 14, 48, 6, 34, 16, 51, 37, 36, 46, 59, 6, 8, 24, 3, 4, 32, 1, 34, 45, 9, 12, 10, 10, 50]",18.88,20,0,802,26.733333333333334,59
C00812,"[25, 9, 41, 48, 12, 10, 6, 50, 34, 59, 52, 41, 19, 6, 2, 15, 17, 16, 28, 21, 8, 10, 10, 50, 10, 9, 28, 24, 19, 33]",27.53,35,0,712,23.733333333333334,59
C00268,"[29, 15, 35, 6, 12, 47, 38, 13, 29, 19, 3, 8, 8, 55, 58, 20, 47, 4, 51, 21, 3, 45, 8, 23, 16, 13, 3, 48, 9, 14]",41.87,3,0,700,23.333333333333332,58
C00386,"[47, 6, 44, 40, 45, 19, 32, 27, 1, 43, 52, 33, 40, 32, 5, 17, 8, 57, 42, 34, 9, 56, 23, 35, 50, 7, 15, 53, 54, 20]",32.6,5,0,946,31.533333333333335,57
C00497,"[10, 16, 4, 54, 22, 13, 16, 52, 29, 6, 26, 11, 24, 29, 3, 52, 10, 1, 52, 43, 26, 58, 12, 14, 25, 8, 43, 4, 28, 7]",30.79,20,0,698,23.266666666666666,58
C00887,"[15, 13, 42, 46, 26, 21, 23, 44, 28, 51, 38, 12, 24, 13, 40, 48, 2, 54, 39, 12, 39, 51, 14, 30, 41, 50, 43, 48, 19, 31]",47.95,24,0,957,31.9,54
C00436,"[29, 18, 47, 38, 39, 49, 6, 40, 12, 53, 14, 44, 55, 10, 54, 20, 15, 31, 7, 58, 41, 10, 10, 48, 39, 28, 30, 37, 55, 3]",36.02,18,0,940,31.333333333333332,58
C00349,"[35, 24, 28, 36, 16, 40, 16, 59, 17, 51, 54, 15, 16, 15, 57, 34, 11, 1, 15, 26, 51, 4, 43, 5, 35, 13, 10, 11, 18, 34]",48.19,9,0,790,26.333333333333332,59
C00029,"[32, 16, 8, 38, 12, 24, 28, 53, 8, 58, 28, 36, 26, 8, 58, 50, 28, 28, 37, 41, 36, 27, 54, 17, 9, 33, 53, 20, 13, 28]",23.46,12,0,907,30.233333333333334,58
C00493,"[3, 32, 20, 10, 29, 41, 52, 51, 46, 34, 37, 20, 8, 7, 6, 11, 44, 18, 51, 42, 57, 29, 25, 21, 46, 3, 18, 24, 47, 38]",6.0,11,0,870,29.0,57
C00390,"[38, 43, 23, 4, 52, 16, 7, 22, 29, 11, 56, 33, 58, 29, 59, 39, 12, 7, 59, 55, 39, 42, 48, 26, 40, 9, 41, 34, 45, 13]",25.17,26,0,989,32.96666666666667,59
C00197,"[46, 52, 47, 48, 23, 45, 17, 55, 40, 21, 2, 37, 6, 44, 18, 30, 22, 54, 33, 30, 17, 43, 32, 42, 51, 14, 58, 10, 47, 51]",8.32,17,0,1035,34.5,58
C00596,"[56, 11, 27, 14, 22, 16, 46, 12, 49, 46, 10, 24, 46, 18, 22, 9, 17, 38, 40, 58, 13, 50, 37, 6, 21, 51, 36, 7, 36, 25]",44.9,32,0,863,28.766666666666666,58
C00742,"[18, 56, 38, 7, 33, 6, 18, 45, 22, 51, 39, 51, 9, 35, 23, 12, 52, 24, 50, 40, 9, 13, 40, 54, 42, 17, 7, 17, 55, 50]",27.03,20,0,933,31.1,56
C00163,"[18, 3, 28, 6, 44, 44, 21, 28, 40, 54, 54, 1, 36, 21, 43, 35, 13, 57, 49, 54, 54, 10, 53, 44, 47, 53, 10, 46, 13, 37]",30.76,12,0,1016,33.86666666666667,57
C00007,"[55, 28, 25, 39, 33, 1, 57, 27, 57, 52, 13, 41, 3, 39, 6, 8, 27, 9, 37, 33, 51, 42, 44, 24, 15, 59, 54, 32, 32, 24]",39.45,1,0,967,32.233333333333334,59
C00321,"[4, 49, 59, 9, 4, 7, 23, 2, 49, 24, 40, 55, 31, 47, 31, 47, 40, 48, 51, 43, 34, 55, 24, 49, 26, 16, 57, 47, 13, 15]",49.1,32,0,999,33.3,59
C00475,"[55, 51, 43, 8, 22, 4, 11, 8, 9, 26, 2, 16, 31, 6, 53, 21, 26, 59, 19, 28, 8, 14, 24, 48, 44, 37, 56, 26, 31, 56]",26.89,17,0,842,28.066666666666666,59
C00557,"[27, 29, 37, 43, 22, 51, 24, 7, 34, 48, 12, 23, 15, 33, 57, 13, 23, 38, 32, 45, 50, 35, 1, 47, 58, 45, 5, 57, 13, 54]",34.49,28,0,978,32.6,58
C00836,"[11, 35, 4, 29, 59, 10, 51, 29, 38, 1, 40, 8, 57, 38, 17, 19, 33, 15, 45, 31, 21, 3, 2, 35, 41, 59, 16, 56, 45, 51]",4.94,10,1,899,29.966666666666665,59
C00496,"[34, 33, 26, 2, 23, 41, 22, 58, 34, 15, 10, 15, 42, 29, 57, 23, 59, 17, 9, 50, 36, 9, 16, 36, 48, 51, 33, 55, 31, 6]",40.5,18,0,920,30.666666666666668,59
C00456,"[15, 5, 4, 58, 28, 53, 52, 51, 53, 4, 15, 17, 44, 3, 10, 47, 42, 56, 23, 18, 1, 35, 53, 58, 31, 59, 44, 1, 3, 3]",37.2,18,0,886,29.533333333333335,59
C00508,"[48, 10, 19, 56, 31, 17, 9, 45, 33, 34, 45, 24, 9, 7, 16, 19, 39, 6, 50, 51, 11, 12, 58, 42, 13, 12, 21, 10, 20, 50]",9.27,24,0,817,27.233333333333334,58
C00471,"[16, 21, 2, 10, 16, 37, 15, 13, 13, 32, 45, 47, 46, 8, 43, 18, 56, 36, 26, 10, 31, 33, 29, 5, 13, 1, 23, 40, 3, 3]",40.81,15,0,691,23.033333333333335,56
C00810,"[13, 5, 44, 14, 38, 22, 9, 49, 40, 26, 45, 5, 29, 54, 22, 49, 3, 28, 38, 14, 47, 14, 43, 11, 9, 38, 47, 44, 6, 1]",40.72,15,0,807,26.9,54
C00454,"[14, 16, 11, 33, 7, 31, 48, 46, 47, 14, 28, 53, 43, 16, 19, 17, 59, 26, 6, 43, 49, 9, 50, 17, 31, 12, 23, 54, 54, 5]",30.49,7,0,881,29.366666666666667,59
C00516,"[6, 7, 37, 53, 18, 23, 44, 38, 59, 1, 4, 51, 44, 47, 35, 23, 27, 26, 52, 8, 43, 16, 41, 3, 32, 5, 20, 14, 32, 26]",42.87,8,0,835,27.833333333333332,59
C00600,"[49, 43, 34, 57, 53, 59, 56, 19, 7, 31, 18, 40, 14, 39, 53, 59, 36, 17, 37, 44, 9, 58, 20, 45, 57, 28, 50, 20, 41, 36]",35.46,12,0,1129,37.63333333333333,59
C00539,"[5, 9, 46, 40, 14, 44, 42, 30, 52, 52, 26, 53, 45, 29, 19, 47, 8, 23, 53, 42, 35, 31, 53, 35, 32, 58, 5, 16, 17, 32]",35.44,28,0,993,33.1,58
C00595,"[47, 3, 1, 26, 24, 49, 35, 14, 3, 13, 47, 50, 14, 21, 26, 3, 51, 40, 4, 36, 51, 43, 1, 40, 47, 33, 7, 53, 52, 52]",19.11,25,1,886,29.533333333333335,53
C00590,"[58, 8, 49, 45, 24, 53, 28, 55, 43, 27, 1, 34, 17, 37, 38, 26, 57, 24, 39, 21, 30, 47, 51, 48, 57, 13, 37, 3, 32, 35]",31.85,24,0,1037,34.56666666666667,58
C00849,"[14, 29, 53, 48, 43, 38, 42, 8, 48, 3, 2, 16, 19, 30, 41, 16, 31, 54, 58, 28, 4, 10, 51, 45, 18, 47, 32, 30, 36, 9]",17.95,23,0,903,30.1,58
C00716,"[10, 47, 39, 39, 10, 36, 25, 50, 59, 57, 10, 19, 46, 45, 15, 16, 2, 29, 4, 53, 50, 29, 31, 17, 10, 27, 53, 41, 15, 44]",15.09,28,0,928,30.933333333333334,59
